GC_PARAMS='-verbose:gc -Xms8192m -Xmx8192m -XX:PermSize=256m -XX:MaxPermSize=256m -XX:+UseLargePages -XX:+PrintGCDateStamps -XX:+UseConcMarkSweepGC -XX:MaxGCPauseMillis=1000 -XX:+CMSIncrementalMode -XX:+PrintGCDetails -verbose:gc'
2012-10-19T06:28:09.862-0400: [GC [ParNew: 221568K->18678K(249216K), 0.0159030 secs] 221568K->18678K(8360960K), 0.0159740 secs] [Times: user=0.14 sys=0.01, real=0.02 secs] 
2012-10-19T06:28:11.305-0400: [GC [1 CMS-initial-mark: 0K(8111744K)] 118920K(8360960K), 0.0745860 secs] [Times: user=0.16 sys=0.00, real=0.07 secs] 
2012-10-19T06:28:12.642-0400: [GC [ParNew: 240246K->20491K(249216K), 0.0360500 secs] 240246K->40650K(8360960K), 0.0361160 secs] [Times: user=0.23 sys=0.03, real=0.04 secs] 
2012-10-19T06:28:15.584-0400: [GC[YG occupancy: 133131 K (249216 K)][Rescan (parallel) , 0.0528560 secs][weak refs processing, 0.0000120 secs] [1 CMS-remark: 20159K(8111744K)] 153290K(8360960K), 0.0529980 secs] [Times: user=0.08 sys=0.00, real=0.06 secs] 
2012-10-19T06:28:28.389-0400: [GC [ParNew: 242059K->18933K(249216K), 0.0224340 secs] 262218K->53468K(8360960K) icms_dc=5 , 0.0226440 secs] [Times: user=0.20 sys=0.03, real=0.02 secs] 
2012-10-19T07:05:33.645-0400: [GC [1 CMS-initial-mark: 34534K(8111744K)] 158803K(8360960K), 0.0482610 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2012-10-19T07:28:28.416-0400: [Full GC (System) [CMS CMS: abort preclean due to time 2012-10-19T07:28:28.439-0400: [CMS-concurrent-abortable-preclean: 0.132/1374.619 secs] [Times: user=1.23 sys=0.18, real=1374.42 secs] 
2012-10-19T08:02:28.773-0400: [GC [1 CMS-initial-mark: 47661K(8111744K)] 152938K(8360960K), 0.0505800 secs] [Times: user=0.05 sys=0.00, real=0.05 secs] 
2012-10-19T08:02:33.937-0400: [GC[YG occupancy: 105481 K (249216 K)][Rescan (parallel) , 0.0552980 secs][weak refs processing, 0.0000180 secs] [1 CMS-remark: 47661K(8111744K)] 153142K(8360960K), 0.0554130 secs] [Times: user=0.06 sys=0.00, real=0.06 secs] 
2012-10-19T08:21:00.966-0400: [GC [ParNew: 221568K->9600K(249216K), 0.0032050 secs] 268911K->56944K(8360960K) icms_dc=0 , 0.0033960 secs] [Times: user=0.03 sys=0.00, real=0.00 secs] 
2012-10-19T08:42:56.159-0400: [GC [ParNew: 231168K->10795K(249216K), 0.0045010 secs] 278512K->58139K(8360960K) icms_dc=0 , 0.0047020 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
2012-10-19T08:44:11.777-0400: [GC [ParNew: 232363K->21533K(249216K), 0.0069220 secs] 279707K->68877K(8360960K) icms_dc=0 , 0.0071360 secs] [Times: user=0.08 sys=0.00, real=0.00 secs] 
2012-10-19T08:54:26.514-0400: [GC [ParNew: 243101K->21577K(249216K), 0.0129450 secs] 290445K->73481K(8360960K) icms_dc=0 , 0.0131540 secs] [Times: user=0.10 sys=0.01, real=0.02 secs] 
2012-10-19T09:02:34.312-0400: [Full GC (System) [CMS[Unloading class sun.reflect.GeneratedConstructorAccessor27]
2012-10-19T09:02:34.717-0400: [GC [1 CMS-initial-mark: 63646K(8111744K)] 63667K(8360960K), 0.0019610 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2012-10-19T09:11:54.327-0400: [GC [ParNew: 221568K->14388K(249216K), 0.0042020 secs] 285214K->78035K(8360960K) icms_dc=0 , 0.0043590 secs] [Times: user=0.04 sys=0.00, real=0.01 secs] 
2012-10-19T09:20:36.746-0400: [GC [ParNew: 235956K->4674K(249216K), 0.0073690 secs] 299603K->68321K(8360960K) icms_dc=0 , 0.0075280 secs] [Times: user=0.06 sys=0.03, real=0.01 secs] 
2012-10-19T09:26:11.062-0400: [GC [ParNew: 226242K->3384K(249216K), 0.0099740 secs] 289889K->67031K(8360960K) icms_dc=0 , 0.0101370 secs] [Times: user=0.11 sys=0.02, real=0.01 secs] 
